"Notes","Year","Year Code","State of Residence","State of Residence Code","Delivery Method","Delivery Method Code","Previous Cesarean Delivery","Previous Cesarean Delivery Code","Mother's Pre-pregnancy BMI","Mother's Pre-pregnancy BMI Code",Births
,"2021","2021","Florida","12","Vaginal","1","No","2","Obesity I 30.0-34.9","4",18784
,"2021","2021","Florida","12","Vaginal","1","No","2","Obesity II 35.0-39.9","5",8042
,"2021","2021","Florida","12","Vaginal","1","No","2","Extreme Obesity III > 39.9","6",4666
,"2021","2021","Florida","12","Vaginal","1","No","2","Unknown or Not Stated","9",6591
,"2021","2021","Florida","12","Vaginal","1","Unknown or Not Stated","9","Normal 18.5-24.9","2",78
,"2021","2021","Florida","12","Vaginal","1","Unknown or Not Stated","9","Overweight 25.0-29.9","3",51
,"2021","2021","Florida","12","Vaginal","1","Unknown or Not Stated","9","Obesity I 30.0-34.9","4",26
,"2021","2021","Florida","12","Vaginal","1","Unknown or Not Stated","9","Obesity II 35.0-39.9","5",10
,"2021","2021","Florida","12","Vaginal","1","Unknown or Not Stated","9","Unknown or Not Stated","9",197
,"2021","2021","Florida","12","Cesarean","2","Yes","1","Underweight <18.5","1",488
,"2021","2021","Florida","12","Cesarean","2","Yes","1","Normal 18.5-24.9","2",8476
,"2021","2021","Florida","12","Cesarean","2","Yes","1","Overweight 25.0-29.9","3",8134
,"2021","2021","Florida","12","Cesarean","2","Yes","1","Obesity I 30.0-34.9","4",5709
,"2021","2021","Florida","12","Cesarean","2","Yes","1","Obesity II 35.0-39.9","5",2972
,"2021","2021","Florida","12","Cesarean","2","Yes","1","Extreme Obesity III > 39.9","6",2485
,"2021","2021","Florida","12","Cesarean","2","Yes","1","Unknown or Not Stated","9",1182
,"2021","2021","Florida","12","Cesarean","2","No","2","Underweight <18.5","1",1035
,"2021","2021","Florida","12","Cesarean","2","No","2","Normal 18.5-24.9","2",15560
,"2021","2021","Florida","12","Cesarean","2","No","2","Overweight 25.0-29.9","3",13177
,"2021","2021","Florida","12","Cesarean","2","No","2","Obesity I 30.0-34.9","4",8127
,"2021","2021","Florida","12","Cesarean","2","No","2","Obesity II 35.0-39.9","5",4273
,"2021","2021","Florida","12","Cesarean","2","No","2","Extreme Obesity III > 39.9","6",3193
,"2021","2021","Florida","12","Cesarean","2","No","2","Unknown or Not Stated","9",2318
,"2021","2021","Florida","12","Cesarean","2","Unknown or Not Stated","9","Normal 18.5-24.9","2",19
,"2021","2021","Florida","12","Cesarean","2","Unknown or Not Stated","9","Overweight 25.0-29.9","3",18
,"2021","2021","Florida","12","Cesarean","2","Unknown or Not Stated","9","Obesity I 30.0-34.9","4",21
,"2021","2021","Florida","12","Cesarean","2","Unknown or Not Stated","9","Obesity II 35.0-39.9","5",10
,"2021","2021","Florida","12","Cesarean","2","Unknown or Not Stated","9","Unknown or Not Stated","9",91
